Tanggal,Terakhir,Pembukaan,Tertinggi,Terendah,Vol.,Perubahan%
8/9/2022,"83,54","81,91","84,25","81,20","342,76K","1,95%"
9/9/2022,"86,79","82,80","87,20","82,71","305,19K","3,89%"
12/9/2022,"87,78","86,25","89,10","85,16","275,10K","1,14%"
13/09/2022,"87,31","88,09","89,31","85,06","348,00K","-0,54%"
14/09/2022,"88,48","87,94","90,19","86,18","335,38K","1,34%"
15/09/2022,"85,10","88,91","89,15","84,53","235,36K","-3,82%"
16/09/2022,"85,11","85,16","86,59","84,27","87,83K","0,01%"
19/09/2022,"85,73","85,21","86,22","82,10","59,63K","0,73%"
20/09/2022,"84,45","85,61","86,45","83,52","26,23K","-1,49%"
21/09/2022,"82,94","84,25","86,68","82,49","339,68K","-1,79%"
22/09/2022,"83,49","83,07","86,00","82,40","303,49K","0,66%"
23/09/2022,"78,74","83,54","83,92","78,04","334,27K","-5,69%"
26/09/2022,"76,71","79,23","80,31","76,25","280,93K","-2,58%"
27/09/2022,"78,50","76,47","79,51","76,42","283,61K","2,33%"
28/09/2022,"82,15","78,08","82,34","76,55","324,68K","4,65%"
29/09/2022,"81,23","81,90","82,94","80,34","286,13K","-1,12%"
30/09/2022,"79,49","81,74","82,56","79,14","253,15K","-2,14%"
3/10/2022,"83,63","81,02","84,56","80,87","287,17K","5,21%"
4/10/2022,"86,52","83,22","86,98","83,22","302,55K","3,46%"
5/10/2022,"87,76","86,37","88,42","85,42","329,79K","1,43%"
6/10/2022,"88,45","88,08","89,07","87,04","235,30K","0,79%"
7/10/2022,"92,64","88,93","93,31","88,00","429,16K","4,74%"
10/10/2022,"91,13","93,48","93,64","90,54","289,51K","-1,63%"
11/10/2022,"89,35","91,14","91,35","87,91","333,16K","-1,95%"
12/10/2022,"87,27","88,67","90,07","86,28","332,27K","-2,33%"
13/10/2022,"89,11","87,08","89,66","85,56","298,03K","2,11%"
14/10/2022,"85,61","89,27","89,73","85,20","237,03K","-3,93%"
17/10/2022,"85,46","85,59","87,12","84,61","172,02K","-0,18%"
18/10/2022,"82,82","85,70","86,51","82,09","97,30K","-3,09%"
19/10/2022,"85,55","83,69","86,20","82,59","71,31K","3,30%"
20/10/2022,"85,98","85,94","88,17","85,22","18,18K","0,50%"
21/10/2022,"85,05","85,07","85,90","83,15","272,80K","-1,08%"
24/10/2022,"84,58","85,24","85,92","82,63","250,73K","-0,55%"
25/10/2022,"85,32","84,88","86,03","83,06","240,44K","0,87%"
26/10/2022,"87,91","85,07","88,41","84,14","287,18K","3,04%"
27/10/2022,"89,08","88,26","89,79","87,33","292,56K","1,33%"
28/10/2022,"87,90","88,67","88,76","87,08","263,40K","-1,32%"
31/10/2022,"86,53","88,39","88,65","85,30","285,34K","-1,56%"
